month,region,dealer_name,leads_units,test_drives_units,contracts_units,delivered_units,cancelled_units,lead_to_contract_rate_pct,contract_to_delivery_rate_pct,finance_attach_rate_pct,csat_score
2025-01,Seoul,Seoul Central EV,314,130,172,164,4,54.78,95.35,41.13,91.68
2025-01,Seoul,Gangnam Green Mobility,324,138,181,172,5,55.86,95.03,40.25,91.91
2025-01,Gyeonggi,Bundang Drive Hub,363,168,215,206,5,59.23,95.81,40.97,90.29
2025-01,Gyeonggi,Suwon EV Square,366,157,199,190,5,54.37,95.48,41.87,90.44
2025-01,Incheon,Incheon Aero EV,178,74,98,94,2,55.06,95.92,43.64,90.27
2025-01,Incheon,Songdo Smart Drive,186,83,106,101,3,56.99,95.28,40.87,92.0
2025-01,Busan,Busan Harbor EV,207,88,124,119,3,59.9,95.97,43.64,91.91
2025-01,Busan,Haeundae Motion Lab,198,78,118,113,2,59.6,95.76,42.02,91.45
2025-01,Daegu,Daegu E-Mobility,168,74,94,90,2,55.95,95.74,38.21,90.16
2025-01,Daegu,Suseong EV Lounge,163,75,97,92,3,59.51,94.85,41.93,91.63
2025-01,Daejeon,Daejeon Tech Drive,141,63,82,78,1,58.16,95.12,43.92,91.87
2025-01,Daejeon,Yuseong Future Auto,140,65,82,79,2,58.57,96.34,42.85,91.26
2025-01,Gwangju,Gwangju EV Studio,135,56,78,76,2,57.78,97.44,41.25,91.08
2025-01,Gwangju,Honam Green Wheels,131,59,75,74,1,57.25,98.67,39.16,90.33
2025-02,Seoul,Seoul Central EV,297,137,176,166,4,59.26,94.32,40.89,89.9
2025-02,Seoul,Gangnam Green Mobility,309,139,184,173,5,59.55,94.02,40.25,90.41
2025-02,Gyeonggi,Bundang Drive Hub,371,157,219,209,5,59.03,95.43,43.03,90.51
2025-02,Gyeonggi,Suwon EV Square,353,146,203,193,5,57.51,95.07,43.49,90.05
2025-02,Incheon,Incheon Aero EV,191,86,104,98,3,54.45,94.23,39.69,89.63
2025-02,Incheon,Songdo Smart Drive,190,85,112,105,3,58.95,93.75,42.45,90.1
2025-02,Busan,Busan Harbor EV,236,99,129,122,3,54.66,94.57,42.41,90.16
2025-02,Busan,Haeundae Motion Lab,216,93,123,117,3,56.94,95.12,43.97,90.77
2025-02,Daegu,Daegu E-Mobility,169,74,97,92,2,57.4,94.85,38.67,89.85
2025-02,Daegu,Suseong EV Lounge,171,68,100,95,3,58.48,95.0,44.05,91.36
2025-02,Daejeon,Daejeon Tech Drive,145,60,84,79,2,57.93,94.05,39.58,91.01
2025-02,Daejeon,Yuseong Future Auto,148,66,84,80,2,56.76,95.24,41.74,90.93
2025-02,Gwangju,Gwangju EV Studio,136,61,79,76,2,58.09,96.2,41.94,90.84
2025-02,Gwangju,Honam Green Wheels,129,53,77,73,1,59.69,94.81,42.19,89.62
2025-03,Seoul,Seoul Central EV,382,157,214,190,5,56.02,88.79,38.99,91.22
2025-03,Seoul,Gangnam Green Mobility,388,182,224,199,5,57.73,88.84,41.97,90.75
2025-03,Gyeonggi,Bundang Drive Hub,496,209,272,243,6,54.84,89.34,43.31,91.12
2025-03,Gyeonggi,Suwon EV Square,433,170,252,225,6,58.2,89.29,40.97,90.14
2025-03,Incheon,Incheon Aero EV,200,87,119,106,3,59.5,89.08,44.05,90.03
2025-03,Incheon,Songdo Smart Drive,215,97,128,113,4,59.53,88.28,38.92,90.71
2025-03,Busan,Busan Harbor EV,283,127,156,140,4,55.12,89.74,42.68,91.45
2025-03,Busan,Haeundae Motion Lab,251,100,149,133,3,59.36,89.26,40.63,90.96
2025-03,Daegu,Daegu E-Mobility,179,72,106,95,2,59.22,89.62,42.1,89.73
2025-03,Daegu,Suseong EV Lounge,193,89,109,97,3,56.48,88.99,41.91,90.65
2025-03,Daejeon,Daejeon Tech Drive,165,73,94,84,2,56.97,89.36,43.92,91.18
2025-03,Daejeon,Yuseong Future Auto,170,75,95,84,3,55.88,88.42,42.0,90.6
2025-03,Gwangju,Gwangju EV Studio,170,67,93,85,2,54.71,91.4,43.49,90.42
2025-03,Gwangju,Honam Green Wheels,160,74,91,82,2,56.88,90.11,42.2,90.66
2025-04,Seoul,Seoul Central EV,361,167,208,185,5,57.62,88.94,39.0,89.83
2025-04,Seoul,Gangnam Green Mobility,396,176,218,194,6,55.05,88.99,42.39,89.58
2025-04,Gyeonggi,Bundang Drive Hub,471,198,266,238,7,56.48,89.47,44.02,89.54
2025-04,Gyeonggi,Suwon EV Square,425,177,246,219,6,57.88,89.02,41.02,89.48
2025-04,Incheon,Incheon Aero EV,205,83,123,109,3,60.0,88.62,38.51,90.13
2025-04,Incheon,Songdo Smart Drive,238,108,131,117,4,55.04,89.31,42.03,90.99
2025-04,Busan,Busan Harbor EV,284,116,155,139,4,54.58,89.68,39.7,89.9
2025-04,Busan,Haeundae Motion Lab,252,117,147,132,4,58.33,89.8,40.94,90.44
2025-04,Daegu,Daegu E-Mobility,205,96,112,99,3,54.63,88.39,40.58,90.21
2025-04,Daegu,Suseong EV Lounge,194,80,115,103,3,59.28,89.57,40.08,90.02
2025-04,Daejeon,Daejeon Tech Drive,180,75,103,91,2,57.22,88.35,38.57,90.27
2025-04,Daejeon,Yuseong Future Auto,187,77,104,91,3,55.61,87.5,38.85,91.0
2025-04,Gwangju,Gwangju EV Studio,176,81,97,86,3,55.11,88.66,38.9,90.48
2025-04,Gwangju,Honam Green Wheels,171,67,94,84,2,54.97,89.36,39.29,89.28
2025-05,Seoul,Seoul Central EV,392,178,216,192,6,55.1,88.89,41.31,89.63
2025-05,Seoul,Gangnam Green Mobility,414,186,227,201,6,54.83,88.55,39.65,89.25
2025-05,Gyeonggi,Bundang Drive Hub,485,216,264,235,7,54.43,89.02,41.62,88.67
2025-05,Gyeonggi,Suwon EV Square,422,168,244,217,7,57.82,88.93,44.14,88.64
2025-05,Incheon,Incheon Aero EV,222,94,128,112,3,57.66,87.5,43.39,89.89
2025-05,Incheon,Songdo Smart Drive,236,93,137,121,4,58.05,88.32,41.44,89.43
2025-05,Busan,Busan Harbor EV,271,119,158,141,5,58.3,89.24,43.81,89.17
2025-05,Busan,Haeundae Motion Lab,259,112,151,134,4,58.3,88.74,39.06,88.98
2025-05,Daegu,Daegu E-Mobility,195,89,110,98,3,56.41,89.09,43.75,90.0
2025-05,Daegu,Suseong EV Lounge,201,83,114,102,3,56.72,89.47,42.49,89.63
2025-05,Daejeon,Daejeon Tech Drive,186,86,105,94,3,56.45,89.52,43.44,88.94
2025-05,Daejeon,Yuseong Future Auto,195,89,106,94,3,54.36,88.68,40.59,89.32
2025-05,Gwangju,Gwangju EV Studio,174,74,95,86,2,54.6,90.53,42.99,89.68
2025-05,Gwangju,Honam Green Wheels,162,72,93,84,2,57.41,90.32,44.05,89.71
2025-06,Seoul,Seoul Central EV,392,161,214,193,6,54.59,90.19,42.24,88.89
2025-06,Seoul,Gangnam Green Mobility,378,156,224,203,7,59.26,90.62,42.27,88.18
2025-06,Gyeonggi,Bundang Drive Hub,485,218,281,250,9,57.94,88.97,40.97,88.47
2025-06,Gyeonggi,Suwon EV Square,470,201,260,230,8,55.32,88.46,40.46,88.11
2025-06,Incheon,Incheon Aero EV,231,99,128,115,4,55.41,89.84,41.95,89.06
2025-06,Incheon,Songdo Smart Drive,241,112,137,123,4,56.85,89.78,39.82,88.97
2025-06,Busan,Busan Harbor EV,281,119,157,140,5,55.87,89.17,44.2,88.79
2025-06,Busan,Haeundae Motion Lab,273,114,150,134,5,54.95,89.33,42.8,88.09
2025-06,Daegu,Daegu E-Mobility,191,80,112,100,3,58.64,89.29,39.99,89.69
2025-06,Daegu,Suseong EV Lounge,206,81,116,103,4,56.31,88.79,39.39,89.09
2025-06,Daejeon,Daejeon Tech Drive,180,75,105,94,3,58.33,89.52,44.11,89.51
2025-06,Daejeon,Yuseong Future Auto,194,82,106,95,3,54.64,89.62,43.08,88.41
2025-06,Gwangju,Gwangju EV Studio,179,77,103,92,3,57.54,89.32,43.94,89.69
2025-06,Gwangju,Honam Green Wheels,178,70,100,89,3,56.18,89.0,40.84,89.08
2025-07,Seoul,Seoul Central EV,347,163,199,181,7,57.35,90.95,42.92,87.37
2025-07,Seoul,Gangnam Green Mobility,373,146,209,190,7,56.03,90.91,42.93,88.7
2025-07,Gyeonggi,Bundang Drive Hub,475,191,258,234,9,54.32,90.7,44.52,86.76
2025-07,Gyeonggi,Suwon EV Square,414,163,239,217,9,57.73,90.79,39.73,86.27
2025-07,Incheon,Incheon Aero EV,217,92,123,111,4,56.68,90.24,43.02,88.0
2025-07,Incheon,Songdo Smart Drive,239,112,132,119,4,55.23,90.15,44.5,87.65
2025-07,Busan,Busan Harbor EV,257,110,148,134,6,57.59,90.54,43.92,87.97
2025-07,Busan,Haeundae Motion Lab,242,103,142,127,5,58.68,89.44,44.27,87.03
2025-07,Daegu,Daegu E-Mobility,193,79,110,98,4,56.99,89.09,38.24,86.45
2025-07,Daegu,Suseong EV Lounge,207,92,114,101,4,55.07,88.6,43.87,87.34
2025-07,Daejeon,Daejeon Tech Drive,184,86,101,91,3,54.89,90.1,42.05,87.08
2025-07,Daejeon,Yuseong Future Auto,172,70,102,91,4,59.3,89.22,44.33,87.8
2025-07,Gwangju,Gwangju EV Studio,169,71,96,88,3,56.8,91.67,42.16,88.35
2025-07,Gwangju,Honam Green Wheels,159,67,93,85,3,58.49,91.4,38.21,88.05
2025-08,Seoul,Seoul Central EV,311,137,182,182,8,58.52,100.0,39.63,87.28
2025-08,Seoul,Gangnam Green Mobility,328,145,190,191,9,57.93,100.53,40.35,87.81
2025-08,Gyeonggi,Bundang Drive Hub,366,162,216,222,10,59.02,102.78,44.02,87.05
2025-08,Gyeonggi,Suwon EV Square,363,166,199,206,9,54.82,103.52,39.77,86.94
2025-08,Incheon,Incheon Aero EV,164,76,91,97,7,55.49,106.59,43.46,86.71
2025-08,Incheon,Songdo Smart Drive,163,73,97,104,8,59.51,107.22,43.25,87.79
2025-08,Busan,Busan Harbor EV,192,81,110,117,9,57.29,106.36,39.77,87.05
2025-08,Busan,Haeundae Motion Lab,182,75,104,111,8,57.14,106.73,39.09,86.61
2025-08,Daegu,Daegu E-Mobility,143,63,82,86,7,57.34,104.88,40.35,87.28
2025-08,Daegu,Suseong EV Lounge,149,65,85,88,7,57.05,103.53,43.89,87.29
2025-08,Daejeon,Daejeon Tech Drive,160,72,89,91,4,55.62,102.25,41.97,87.79
2025-08,Daejeon,Yuseong Future Auto,164,75,90,91,5,54.88,101.11,43.48,88.25
2025-08,Gwangju,Gwangju EV Studio,137,62,80,82,4,58.39,102.5,39.65,88.38
2025-08,Gwangju,Honam Green Wheels,140,56,78,80,3,55.71,102.56,39.31,86.94
2025-09,Seoul,Seoul Central EV,266,118,154,182,8,57.89,118.18,43.51,88.98
2025-09,Seoul,Gangnam Green Mobility,285,133,162,190,8,56.84,117.28,40.14,89.14
2025-09,Gyeonggi,Bundang Drive Hub,336,153,186,221,9,55.36,118.82,38.88,88.5
2025-09,Gyeonggi,Suwon EV Square,311,130,172,204,9,55.31,118.6,40.14,88.5
2025-09,Incheon,Incheon Aero EV,137,59,77,90,6,56.2,116.88,39.37,88.58
2025-09,Incheon,Songdo Smart Drive,151,69,82,97,7,54.3,118.29,41.37,89.38
2025-09,Busan,Busan Harbor EV,153,66,92,108,8,60.13,117.39,43.42,89.46
2025-09,Busan,Haeundae Motion Lab,152,68,87,103,7,57.24,118.39,39.08,88.94
2025-09,Daegu,Daegu E-Mobility,118,47,71,83,6,60.17,116.9,42.93,88.51
2025-09,Daegu,Suseong EV Lounge,129,60,73,86,6,56.59,117.81,42.79,89.15
2025-09,Daejeon,Daejeon Tech Drive,109,45,63,78,5,57.8,123.81,41.84,88.96
2025-09,Daejeon,Yuseong Future Auto,110,47,63,78,5,57.27,123.81,38.76,88.68
2025-09,Gwangju,Gwangju EV Studio,111,50,62,74,5,55.86,119.35,42.18,89.45
2025-09,Gwangju,Honam Green Wheels,109,43,61,71,4,55.96,116.39,43.22,88.45
2025-10,Seoul,Seoul Central EV,221,92,127,149,5,57.47,117.32,42.88,90.37
2025-10,Seoul,Gangnam Green Mobility,233,103,134,157,6,57.51,117.16,41.51,89.93
2025-10,Gyeonggi,Bundang Drive Hub,287,126,164,185,12,57.14,112.8,42.66,89.98
2025-10,Gyeonggi,Suwon EV Square,260,114,152,171,12,58.46,112.5,42.44,87.99
2025-10,Incheon,Incheon Aero EV,125,50,74,81,5,59.2,109.46,43.42,89.97
2025-10,Incheon,Songdo Smart Drive,141,62,79,86,6,56.03,108.86,40.98,89.46
2025-10,Busan,Busan Harbor EV,156,67,92,99,7,58.97,107.61,40.58,89.06
2025-10,Busan,Haeundae Motion Lab,160,63,87,95,6,54.38,109.2,39.08,89.27
2025-10,Daegu,Daegu E-Mobility,121,51,72,78,5,59.5,108.33,38.54,89.61
2025-10,Daegu,Suseong EV Lounge,128,57,75,81,6,58.59,108.0,41.36,89.43
2025-10,Daejeon,Daejeon Tech Drive,114,47,65,72,4,57.02,110.77,41.87,89.59
2025-10,Daejeon,Yuseong Future Auto,114,46,66,73,4,57.89,110.61,41.2,89.06
2025-10,Gwangju,Gwangju EV Studio,108,50,61,66,4,56.48,108.2,42.88,89.65
2025-10,Gwangju,Honam Green Wheels,105,47,59,64,3,56.19,108.47,44.06,89.94
2025-11,Seoul,Seoul Central EV,225,104,131,132,9,58.22,100.76,40.41,90.27
2025-11,Seoul,Gangnam Green Mobility,246,96,137,139,9,55.69,101.46,42.61,90.64
2025-11,Gyeonggi,Bundang Drive Hub,292,130,168,167,11,57.53,99.4,41.66,90.06
2025-11,Gyeonggi,Suwon EV Square,283,126,155,155,10,54.77,100.0,39.84,89.07
2025-11,Incheon,Incheon Aero EV,136,53,76,76,5,55.88,100.0,41.01,89.85
2025-11,Incheon,Songdo Smart Drive,140,62,82,81,6,58.57,98.78,39.04,90.98
2025-11,Busan,Busan Harbor EV,165,73,96,95,6,58.18,98.96,41.79,90.86
2025-11,Busan,Haeundae Motion Lab,156,63,91,90,6,58.33,98.9,42.27,90.07
2025-11,Daegu,Daegu E-Mobility,121,48,71,70,5,58.68,98.59,39.33,89.02
2025-11,Daegu,Suseong EV Lounge,126,54,73,73,5,57.94,100.0,43.55,89.43
2025-11,Daejeon,Daejeon Tech Drive,117,53,64,65,4,54.7,101.56,43.2,90.35
2025-11,Daejeon,Yuseong Future Auto,117,46,64,65,4,54.7,101.56,43.1,90.62
2025-11,Gwangju,Gwangju EV Studio,107,50,61,62,4,57.01,101.64,44.01,90.47
2025-11,Gwangju,Honam Green Wheels,106,47,59,60,4,55.66,101.69,42.78,89.31
2025-12,Seoul,Seoul Central EV,221,88,125,125,8,56.56,100.0,44.72,90.47
2025-12,Seoul,Gangnam Green Mobility,228,103,130,132,8,57.02,101.54,44.62,90.48
2025-12,Gyeonggi,Bundang Drive Hub,287,125,159,158,10,55.4,99.37,42.67,90.4
2025-12,Gyeonggi,Suwon EV Square,265,124,147,146,9,55.47,99.32,43.46,90.54
2025-12,Incheon,Incheon Aero EV,124,57,74,74,5,59.68,100.0,40.52,90.57
2025-12,Incheon,Songdo Smart Drive,145,58,79,79,5,54.48,100.0,44.11,89.6
2025-12,Busan,Busan Harbor EV,163,67,90,89,6,55.21,98.89,40.06,90.5
2025-12,Busan,Haeundae Motion Lab,151,60,85,85,5,56.29,100.0,41.33,90.15
2025-12,Daegu,Daegu E-Mobility,127,58,69,69,5,54.33,100.0,41.42,89.65
2025-12,Daegu,Suseong EV Lounge,121,47,72,71,5,59.5,98.61,38.78,90.35
2025-12,Daejeon,Daejeon Tech Drive,107,45,61,62,3,57.01,101.64,38.61,90.28
2025-12,Daejeon,Yuseong Future Auto,106,49,62,62,4,58.49,100.0,44.13,90.87
2025-12,Gwangju,Gwangju EV Studio,98,46,56,55,3,57.14,98.21,40.96,91.21
2025-12,Gwangju,Honam Green Wheels,94,41,54,53,3,57.45,98.15,42.22,90.27
